id,姓名,評論,照片
番茄吃吃記🌱,"假日不知道要去哪嗎
快揪親朋好友去OZ
甜點好吃、環境清幽

#肉桂捲
他們家的肉桂捲有夠好吃😻
加上奶油乳酪一起吃
濕潤不膩口

#鹹蛋黃烤乳酪司康
第一次看到鹹蛋黃口味的司康
有回到中秋節的氣息🤭
好喜歡他的乳酪醬
香濃好吃😆

#伯爵茶乳酪蛋糕
吃得出茶味的清香
整體口感偏粗糙
如果再綿密些會更讚🫶🏻

#美式加氣泡
第一次嘗試氣泡咖啡🫣
該怎麼形容他的味道呢
苦苦又氣氣(?
喜歡美式的朋友可以嚐鮮看看🤣

🍞肉桂捲(奶油乳酪) $120
🧀️鹹蛋黃烤乳酪司康 $75
🍰伯爵茶乳酪蛋糕 $110
☕️美式加氣泡 $120

🏠地址: 台中市西區中山路508號
🕰時間: 12:00~19:00 (週二公休)
⚠️注意: 低消飲品一杯/人、限時2小時

🔍尋找好吃美食快追蹤👇🏻
IG: @520foodworld 、番茄遊+地區
",https://lh3.googleusercontent.com/HaYxLNBHjDIYb8jVMR7Dl1KbD9S159b09T0vOa5wOot0VKmriTou2IUG5MMnqIzCZgkJBOOOVvmTzCzstWLJEsygTBWbP0XOV_YoQ2DFZB4A=s600
霸子。食樂拼圖,啢男 | OZ Male啢男甜點咖啡，人氣肉桂捲司康專賣，肉桂捲滿滿肉桂醬滋味濃厚，司康香酥美味！,https://lh3.googleusercontent.com/j_s51aK8kXmkmkjoePU4LK0F6eVxAVzGrcmXMdHjiXbhsrJnZb9c37mS9A5qiedyMaSS6pSSY6Nd7jRHMQ-0jlWKIxPcDme0y_NjSLLVWR74vA=s600
強生&小吠,OZ Male唡男│帶辛辣感的肉桂捲厲害啦！司康口味選擇多，不止甜點有威連鹹派都好吃～,https://lh3.googleusercontent.com/g2ti_KmdvSqNPkVgUKv-i3rS8MJnQ3fdVPW0Wehq4FRBAL5jfu30xr7ze4yj53NvfcY3hbg3n8vwfUzJclbyEmEHAOXsj84x83qOkAEJjWc1=s600
美食鐵粉靜香兒,壽星最愛慶生餐廳，超大肉盤、海鮮船，還有蔬菜吧吃到飽，甚至提供剝蝦服務，最便宜268起-肉多多火鍋,https://lh3.googleusercontent.com/gihm-BSxokXI7DBn78sN0OI-rr1zS3cd1nCj6_RpG8Ky1SFNJmmWpJVpILGB6RCUYG9IHJfc6K3TjI3XSmHTZDEGPxexpkNvpX0e_wvjhcU=s600
Cyndi love's享食天堂,全台最大宵夜火鍋集團樂多多集團旗下爆紅名店肉多多火鍋來台中了，新菜單海陸雙絕真的超級威猛,https://lh3.googleusercontent.com/MMlrRCAGLE6ppMDJDMcqmBX5xYSRZiWNk-ONOFD3SnpYf62lJD8sBhwrmHZpBOMsQjRNrXgVkzy59j2f2OUKrWJcm2OXduovOOOCcOt0cwfG=s600
小玉兒趴趴走,肉多多火鍋,https://lh3.googleusercontent.com/0omK_GeTDpuo2ystuvDiASmwxlS8j15Wf4DZOfDlH_V-oVwPU52Pb0e7D_1DfeUXvQTirEn15JAIIvc9YSltKJu_6FxdvLx4=s600
Darren蘋果樹旅遊玩樂誌,台中美食|陳明統爌肉飯/必比登推薦台中50年老店(菜單價位),https://lh3.googleusercontent.com/VpHQybzs8S58XsSz_4_0rwqTRODXFIeyFOi5iRQByyQHObYWkh3NfBMK7Zk4GfVn3OsE8W2uEc9521sEKyZifJyZQ7n_Rbpzb6LXAOrLqIiD=s600
卡琳摸魚兒趣,陳明統爌肉飯｜2022台中米其林必比登，50年老店，忠孝夜市美食推薦 (菜單.營業時間),https://lh3.googleusercontent.com/dq7oEJzXFEziLDs-85OsBalQVnug1tiTiUNRRAQ7AE6xQCv9o3finR52pNAeNzGyCPFhs339V0zrENIv6eDyEivrG-FVkESRitMdve2XwPE=s600
Su Su,普通不推薦,
霸子。食樂拼圖,林異香齋 | 梧棲百年餅店人氣鹹蛋糕，牛角麵包也堪稱秒殺等級，表皮酥酥口感結合奶香滋味，真好吃！,https://lh3.googleusercontent.com/HfMQfGBMLVsQChuMKrKCbCpBitXHRk6KreCUrzf5bGYrSKh11ORlUz7GLA-uUBTD93HgxJ7faypl0NI9ceTFvZqxhVwaNZEq5j2UKliRvaA=s600
Nash，神之領域,好菜 Küisine，米其林必比登推介台中亞洲料理餐廳 (菜單),https://lh3.googleusercontent.com/FhvwRc2Um6hHpTmIsKEKgfRYn1ozVfWy3b7D3GHSUJFGrRGZjec5saEdigD_YwFh1b-SOxdLQwsG_bQD7rSqTdRhmkGv8H2FQs4q9gkJ9K4j=s600
鯊魚大口咬,好菜Küisin，道道是好菜，台中米其林必比登推薦，手作亞洲料理，南洋日式台式家常菜@鯊魚大口咬,https://lh3.googleusercontent.com/g7so8Jl0GuUnaa-GgAwXUpBOBtLTOCygPNgNAi02f7IU1g3QHehxipQAceiQWfEwd7Fx5LmJFNwSM_EQ1IMX9h5wRa5jKZ6Jh1cumzdpAusl=s600
小太陽美食口袋名單,"#台中大墩美食吃不完
#好菜🍴
台中餐廳除了印象中的裝潢大氣外，美味指數也是數一數二的。
今天新聞公布的米其林餐廳就新增好幾家台中店家，可見台中美食也是群雄並起。
今天光臨的在模範街巷弄內，別小看這小小店家，用餐時間限定一小時，完食後，外面等待的客人早就一大串，平日的晚餐一樣人潮眾多。
以家常熱炒料理為主，但能升級成套餐，有前菜及湯品與飲料，十分划算的套餐組合。菜色以雞肉、豬肉、牛肉及海鮮料理為主。
#牛菲力月見香蘋奶油燒🥩
菲力十分軟嫩，搭配炒到焦香的蒜片，入口竟然有鐵板燒的口感，搭配半熟蛋，真是美味的一道牛肉料理。
#豆酥金目鱸魚🐟
以往豆酥都是搭配鱈魚，這次嘗試鱸魚，一樣很對味。清蒸的鱸魚，利用熱油淋上香蔥的傳統作法，搭配豆酥更讓美味更上層樓。
#蝦醬高麗菜🦐
爽脆的高麗菜，搭配蝦醬熱炒，不僅吃出南洋味，更是台式熱炒青菜的首選。
#飲料🥤紅玉紅茶與義豐冬瓜茶
搭配對味的飲料，甜中回甘的紅茶與冬瓜茶，正是熱炒的另類飲料選擇。

#好菜🍴
#地址🏠：403台中市西區模範街24巷1號
#電話☎️：04 2305-2933
#營業時間⏰：週二公休，其他時間11:30-14:00；17:30-21:30",https://lh3.googleusercontent.com/LKFUzWn0h5Sb02dCa55FTfvZdqPZd0PLxOCzWz5Ht2QEXias9wB3g4mCstaZo0SMZfw-ECVypWBhpdp0RyaxChGrdjygT5E=s600
魏朱,台中西區｜敘禾燒肉專門店｜剝皮辣椒雞湯好喝，美術園道單點制燒肉,https://lh3.googleusercontent.com/04Lg08a73dm0oLzAzH8um3Rr54-l_DqBYR22T7FT0SJYGWJForzHluH4q4O38Pi6h2443-aDEPPrOtdH-HE3ZEYBpVgcvBW0Sr6NoGSU6B4T=s600
肯尼哥哥日常美食紀錄✨💫,以台中西區附近美食戰區來說知名度不算高，知道的人不多。餐廳不大，用餐時間沒有事先定位可能要等侯一陣子。食材跟呈現的方式都很不錯，在台中吃過至少20家以上的燒肉店，所以算是還滿挑剔的，但這間我給滿分！✨,https://lh3.googleusercontent.com/Q1Sd_hLsF86O7xasAlJAT9u6588iGGwYZ79l4gjvEZ4wt83WU4DM0DFkP5JuL55-7gr-axfRxxy727E0fa2DoeWWHMGx0u8UM5MKLCGIMzbO
冠婷｜美食趣,拉麵王4ni！學生族超愛的百元美食，極致濃厚醇香拉麵，台中南區拉麵推薦菜單,https://lh3.googleusercontent.com/z3cCh34v8wg3jLeHoucuapzU0aHstzM93k2ZM20C0fB0KuJrhuU2IL7omsBbFKirOm-ng4L6FUKkKii2ZTJQgRktnAFpyyrvDW7YMn8wyRE=s600
陳楓的吃喝生活筆記,Nagi拉麵 ラーメン凪 台中店。來自日本的客製化創意拉麵。台中老虎城美食,https://lh3.googleusercontent.com/y3lv-BcpRFTpWXXM-Jolm9gW7N56bAExJSy4JdiCDcPBcg2YDF6bicUon7t22bbcnqXjkDeIuXqdjUPqPvP8RI9ggEIvWb9LqN1dvR-3XNo=s600
